,platform,url,measured.on
103,voorjebuurt,https://www.voorjebuurt.nl/campaigns/bolobuurtbus/,2015-03-18
104,voorjebuurt,https://www.voorjebuurt.nl/campaigns/fashionroulette/,2015-03-18
105,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4cutrecht/,2015-03-18
106,voorjebuurt,https://www.voorjebuurt.nl/campaigns/pauzelandschap/,2015-03-18
107,voorjebuurt,https://www.voorjebuurt.nl/campaigns/lekkerlokaalkids/,2015-03-18
108,voorjebuurt,https://www.voorjebuurt.nl/campaigns/horsterpark/,2015-03-18
109,voorjebuurt,https://www.voorjebuurt.nl/campaigns/proeftuin/,2015-03-18
110,voorjebuurt,https://www.voorjebuurt.nl/campaigns/test-tegenprestatie-ii/,2015-03-18
111,voorjebuurt,https://www.voorjebuurt.nl/campaigns/voorbeeld-etten-leur-hartveilig/,2015-03-18
112,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4ccruquius/,2015-03-18
113,voorjebuurt,https://www.voorjebuurt.nl/campaigns/olifantengras/,2015-03-18
114,voorjebuurt,https://www.voorjebuurt.nl/campaigns/degroenevanamsterdam/,2015-03-18
115,voorjebuurt,https://www.voorjebuurt.nl/campaigns/filosofisch-cafe-nijmegen/,2015-03-18
116,voorjebuurt,https://www.voorjebuurt.nl/campaigns/eetkamer-van-de-wijk/,2015-03-18
117,voorjebuurt,https://www.voorjebuurt.nl/campaigns/hotspothutspot-skibroek/,2015-03-18
118,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kaspers-kerstboek/,2015-03-18
119,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kerstdiner/,2015-03-18
120,voorjebuurt,https://www.voorjebuurt.nl/campaigns/bijenoase/,2015-03-18
121,voorjebuurt,https://www.voorjebuurt.nl/campaigns/dag-van-de-dialoog/,2015-03-18
122,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kledingpunt-heijplaat/,2015-03-18
123,voorjebuurt,https://www.voorjebuurt.nl/campaigns/noorderpark-in-beweging/,2015-03-18
124,voorjebuurt,https://www.voorjebuurt.nl/campaigns/starters4communities/,2015-03-18
125,voorjebuurt,https://www.voorjebuurt.nl/campaigns/leds-improve-klepperhoeve/,2015-03-18
126,voorjebuurt,https://www.voorjebuurt.nl/campaigns/triatlon-witmarsum/,2015-03-18
127,voorjebuurt,https://www.voorjebuurt.nl/campaigns/muurschildering-kleine-dom-1/,2015-03-18
128,voorjebuurt,https://www.voorjebuurt.nl/campaigns/greensparade/,2015-03-18
129,voorjebuurt,https://www.voorjebuurt.nl/campaigns/ilovenoord-picknick/,2015-03-18
130,voorjebuurt,https://www.voorjebuurt.nl/campaigns/debuurtcamping/,2015-03-18
131,voorjebuurt,https://www.voorjebuurt.nl/campaigns/fiets-je-blij-fase-van-kunstroute-ijburg/,2015-03-18
132,voorjebuurt,https://www.voorjebuurt.nl/campaigns/flex-night-live/,2015-03-18
133,voorjebuurt,https://www.voorjebuurt.nl/campaigns/hortus/,2015-03-18
134,voorjebuurt,https://www.voorjebuurt.nl/campaigns/dorpsmagazinenoord/,2015-03-18
135,voorjebuurt,https://www.voorjebuurt.nl/campaigns/klassiek-rondom-de-klas/,2015-03-18
136,growfunding,http://www.growfunding.be/bxl/discobar-bruxelles?archived=true,2015-03-18
137,growfunding,http://www.growfunding.be/bxl/halfway-home-nl?archived=true,2015-03-18
138,growfunding,http://www.growfunding.be/bxl/solidare-it-nl?archived=true,2015-03-18
139,growfunding,http://www.growfunding.be/bxl/geef-jezelf-een-fietspad-cadeau?archived=true,2015-03-18
140,growfunding,http://www.growfunding.be/bxl/ann-et-les-anes-nl?archived=true,2015-03-18
